,reviewerID,asin,helpful,overall
86,A35XRT4BW4I6UD,B000068NW5,"[0, 0]",5.0
87,AKYDGCKCY7H9F,B000068NW5,"[0, 0]",5.0
88,A19NGYCQ1NCF3W,B000068NW5,"[4, 4]",4.0
89,A3UD50M7M72150,B000068NW5,"[0, 0]",1.0
90,A2B78RXJ2PB6ZD,B000068NW5,"[0, 0]",5.0
91,A18RGYRCEN181M,B000068NW5,"[0, 0]",5.0
92,A18LZ6VHS4DK69,B000068NW5,"[0, 0]",5.0
93,AQG6AQXC703WD,B000068NZC,"[0, 0]",3.0
94,A2YGWCX3DQ6ER0,B000068NZC,"[0, 0]",5.0
95,A21VM9WVF8EOSJ,B000068NZC,"[3, 3]",5.0
96,A3M48SSAOTBSMW,B000068NZC,"[3, 3]",5.0
97,AFLRU6952DEFX,B000068NZC,"[0, 0]",4.0
98,A1W3CEEQBJ4GTN,B000068NZC,"[0, 0]",2.0
99,AXP9CF1UTFRSU,B000068NZC,"[0, 0]",5.0
100,A1IR3NR4KRPIJ1,B000068NZG,"[0, 0]",5.0
101,A2NYK9KWFMJV4Y,B000068NZG,"[0, 0]",5.0
102,A2RS66Y79Q8X0W,B000068NZG,"[0, 0]",5.0
103,A34IJACMU8C3IM,B000068NZG,"[12, 12]",4.0
104,A2WYF4POBUXL2O,B000068NZG,"[0, 0]",4.0
105,A3UPEG3LRWOX16,B000068O1N,"[0, 0]",4.0
106,A2QJQ3HSJB4NS,B000068O1N,"[0, 0]",5.0
107,A1MVH1WLYDHZ49,B000068O1N,"[0, 0]",5.0
108,A2XXBZPQT5EXHV,B000068O1N,"[0, 0]",5.0
109,A204ETWOV23HO4,B000068O1N,"[0, 0]",5.0
110,A203OCQQ12MAVT,B000068O1N,"[0, 0]",5.0
111,A319B090A2POEB,B000068O1N,"[0, 0]",5.0
112,A3JUQ2E799OC5B,B000068O1N,"[0, 0]",5.0
113,A2PN3GY7I3EKC1,B000068O1N,"[0, 0]",5.0
114,A1FCX548TD6DLP,B000068O3D,"[1, 1]",5.0
115,A35D9ODUCAMF5G,B000068O3D,"[0, 0]",5.0
116,A3UETHIJBL6MCV,B000068O3D,"[0, 0]",5.0
117,A2Y8JW5NSY95OL,B000068O3D,"[0, 0]",5.0
118,A3FW4THIMBIN6V,B000068O3D,"[0, 0]",4.0
119,AT09WGFUM934H,B000068O3D,"[2, 2]",5.0
120,A1NAA1R38JSNHV,B000068O3D,"[0, 0]",5.0
121,A1F4KCBVDP8S25,B000068O3X,"[0, 0]",5.0
122,A4BTCECGQAIUI,B000068O3X,"[0, 0]",4.0
123,AROOYR32BS1VL,B000068O3X,"[1, 1]",4.0
124,A2F2L5F9OWWVY6,B000068O3X,"[0, 0]",5.0
125,A3PL8ENSYWS1PZ,B000068O3X,"[0, 0]",5.0
126,A23BIOQUMRC7K5,B000068O3X,"[0, 0]",5.0
127,A27DR1VO079F1V,B000068O3X,"[0, 0]",5.0
128,A3OZC468867FW8,B000068O3X,"[0, 0]",4.0
129,AJ3MI4QT7339J,B000068O3X,"[0, 0]",5.0
130,A3OJ0RGAECAGH8,B000068O3X,"[3, 3]",5.0
131,A22LLQ00V32YZJ,B000068O3X,"[0, 0]",4.0
132,A1N06X05VZWO5Y,B000068O3X,"[0, 0]",5.0
133,A2LBHMQ3142G3S,B000068O3X,"[4, 4]",5.0
134,AEG2MOBNK5KCA,B000068O3X,"[0, 0]",5.0
135,A3V1A3C9DTLPME,B000068O3X,"[0, 0]",5.0
136,A3200TEQBFSDRX,B000068O3X,"[0, 0]",5.0
137,AFLRU6952DEFX,B000068O3X,"[0, 0]",5.0
138,A3HLW3G0TA8GX1,B000068O4H,"[0, 0]",4.0
139,A9J03MF2689TS,B000068O4H,"[4, 4]",5.0
140,AQFOCVEBDCYU9,B000068O4H,"[0, 0]",5.0
141,A3GSBNVP2LPFRB,B000068O4H,"[0, 0]",5.0
142,A37U8NH2CD9EDX,B000068O4H,"[0, 0]",4.0
143,A1M957IA3QNX7X,B000068O4H,"[0, 0]",4.0
144,AEN6KDJ3AJDK6,B000068O4H,"[0, 2]",2.0
145,A17CU1D2CWXOHB,B000068O4H,"[0, 0]",5.0
146,ALHC64J88LVWO,B000068O4H,"[0, 0]",5.0
147,AKDQONDXN72MW,B000068O4H,"[0, 0]",5.0
148,A3HLW3G0TA8GX1,B000068O59,"[0, 0]",4.0
149,A3M05N9UWHIXUI,B000068O59,"[1, 1]",5.0
150,A28P7V9KI7MXP,B000068O59,"[0, 0]",5.0
151,A26JHKA8SNXV6P,B000068O59,"[0, 0]",4.0
152,A1VHCO8RQFIGQJ,B000068O59,"[0, 0]",5.0
153,A2RS66Y79Q8X0W,B000068O59,"[0, 0]",5.0
154,A2H5GRB3XXEBX0,B00006LVEU,"[2, 2]",5.0
155,A1LS2UXHG1BYRG,B00006LVEU,"[1, 1]",5.0
156,A3HCK3UXD6WS4G,B00006LVEU,"[1, 1]",5.0
157,A2WT46GVYE1ZDD,B00006LVEU,"[0, 2]",3.0
158,A2EZWZ8MBEDOLN,B00006LVEU,"[1, 1]",5.0
159,A2BRXREMT5WZJ0,B00006LVEU,"[1, 1]",5.0
160,A1L7M2JXN4EZCR,B00006LVEU,"[0, 0]",4.0
161,A3EUD541ZM0R0R,B00006LVEU,"[0, 0]",5.0
162,AMNTZU1YQN1TH,B00006LVEU,"[1, 1]",5.0
163,AXWB93VKVML6K,B00006LVEU,"[0, 0]",5.0
164,A19JA9J3BFBKNO,B00006LVEU,"[0, 0]",3.0
165,AKYDGCKCY7H9F,B00006LVEU,"[0, 0]",5.0
166,AKLDKUON6YY0X,B00006LVEU,"[0, 0]",5.0
167,A2SH4497XM1HET,B00006LVEU,"[0, 0]",5.0
168,A1LQC225SE8UNI,B00009W40D,"[0, 0]",5.0
169,A2QDVOUXE4PYIM,B00009W40D,"[1, 1]",5.0
170,A12YXGXV4MATDS,B00009W40D,"[0, 0]",4.0
171,A1RHGZOBDC3WQF,B00009W40D,"[0, 0]",5.0
172,A6FIAB28IS79,B00009W40D,"[4, 4]",4.0
173,A20EZ7E8WUH2GZ,B00009W40D,"[1, 1]",4.0
174,A3HLW3G0TA8GX1,B00009W40G,"[0, 1]",4.0
175,A1FI4UL6C50NZJ,B00009W40G,"[0, 0]",4.0
176,A223S6N0DBQBHP,B00009W40G,"[0, 0]",5.0
177,A10KH8EN77ZKWH,B00009W40G,"[1, 1]",4.0
178,A34LQ791ACZ0JC,B00009W40G,"[0, 0]",4.0
179,A31XY5BETE8DUC,B00009W40G,"[0, 0]",3.0
180,A1C92KYEEU1T0G,B0000AQRSR,"[4, 4]",4.0
181,A2JN6080LXS12H,B0000AQRSR,"[0, 0]",4.0
182,A2EWLWNMF65J5X,B0000AQRSR,"[0, 0]",5.0
183,A1K8E597YAFQQG,B0000AQRSR,"[0, 0]",5.0
184,A2N4QZ92NBKJZZ,B0000AQRSR,"[0, 0]",4.0
185,A3TJMZ2YFNECYN,B0000AQRSS,"[2, 2]",4.0
186,A2MR43RDPZX3J,B0000AQRSS,"[0, 0]",4.0
187,A3VVKC910FN4EK,B0000AQRSS,"[1, 1]",5.0
188,A3IICSS30MRX9M,B0000AQRSS,"[2, 2]",5.0
189,A34LQ791ACZ0JC,B0000AQRSS,"[1, 1]",4.0
190,A6FIAB28IS79,B0000AQRSS,"[7, 9]",4.0
191,A18X6ZT4AEYVKB,B0000AQRSS,"[1, 1]",5.0
192,A2LSR40ZH18TPH,B0000AQRST,"[0, 0]",5.0
193,A7E0CJH464L82,B0000AQRST,"[0, 0]",5.0
194,A2KI91IR3RA7D0,B0000AQRST,"[73, 76]",5.0
195,A2DKLC2FJTY9OI,B0000AQRST,"[0, 0]",5.0
196,A1MI9FDCNB3CMR,B0000AQRST,"[15, 18]",5.0
197,A37AQI4AU3JWSR,B0000AQRST,"[0, 0]",5.0
198,A37U8NH2CD9EDX,B0000AQRST,"[0, 0]",5.0
199,A319B090A2POEB,B0000AQRST,"[0, 1]",4.0
200,A34IJACMU8C3IM,B0000AQRST,"[9, 10]",4.0
201,A217QN6PDMKS1A,B0000AQRST,"[0, 0]",5.0
202,A32E8LG6I4W2AI,B0000AQRST,"[0, 0]",4.0
203,AXABTEYS7A4A8,B0000AQRSU,"[0, 0]",5.0
204,A67OJZLHBBUQ9,B0000AQRSU,"[0, 0]",5.0
205,A1BN3DBBWLMT6V,B0000AQRSU,"[0, 0]",5.0
206,A3AOB0VF6H0IF4,B0000AQRSU,"[3, 4]",4.0
207,A3DDZ2SENG07MS,B0000AQRSU,"[2, 2]",4.0
208,A2KI91IR3RA7D0,B0000AQRSU,"[246, 259]",4.0
209,A18P5I03P4U8AI,B0000AQRSU,"[0, 0]",5.0
210,A1AFH79R6W1QOQ,B0000AQRSU,"[0, 0]",5.0
211,A18C03TA8N26L4,B0000AQRSU,"[1, 1]",5.0
212,AQFOCVEBDCYU9,B0000AQRSU,"[1, 1]",5.0
213,A1XXS0OSY2JLHW,B0000AQRSU,"[0, 0]",5.0
214,A319B090A2POEB,B0000AQRSU,"[0, 0]",4.0
215,AW6A4PPENVZY3,B0000AQRSU,"[0, 0]",4.0
216,A34IJACMU8C3IM,B0000AQRSU,"[5, 5]",4.0
217,A6FIAB28IS79,B0000AQRSU,"[19, 21]",5.0
218,A2INSN8Z69R0FK,B0000AQRSU,"[0, 0]",4.0
219,A32E8LG6I4W2AI,B0000AQRSU,"[0, 0]",4.0
220,AJK15Q9JOEHRH,B000165DSM,"[1, 1]",5.0
221,A1ESUYMIG3TZT0,B000165DSM,"[0, 0]",5.0
222,AKSFZ4G1AXYFC,B000165DSM,"[0, 0]",4.0
223,A3AOB0VF6H0IF4,B000165DSM,"[0, 0]",1.0
224,A27DR1VO079F1V,B000165DSM,"[0, 0]",1.0
225,A1L7M2JXN4EZCR,B000165DSM,"[0, 0]",4.0
226,A203OCQQ12MAVT,B000165DSM,"[4, 6]",5.0
227,A12YXGXV4MATDS,B000165DSM,"[0, 0]",5.0
228,AQZ7HGW2FF4ED,B000165DSM,"[0, 0]",4.0
229,A3E6FHS8DV037H,B000165DSM,"[0, 0]",5.0
230,A3M48SSAOTBSMW,B000165DSM,"[0, 0]",4.0
231,A1K45HFFFDNP1A,B000165DSM,"[6, 6]",4.0
232,A12N7TJQR2RB9W,B000165DSM,"[1, 1]",4.0
233,A2CPP7BZKOF9TP,B000165DSM,"[0, 0]",5.0
234,AOINAOO0NQRGN,B000165DSM,"[0, 0]",4.0
235,A3DGMJN91IUKGU,B000165DSM,"[0, 0]",5.0
236,A3IZF3M92E7SI2,B000165DSM,"[0, 0]",5.0
237,A3EU3ET85O8ZFX,B000165DSM,"[1, 2]",5.0
238,AJK15Q9JOEHRH,B0001FTVD6,"[0, 0]",5.0
239,A2QJQ3HSJB4NS,B0001FTVD6,"[0, 0]",5.0
240,A1MVH1WLYDHZ49,B0001FTVD6,"[0, 0]",4.0
241,ARID6HRKRWGFW,B0001FTVD6,"[0, 0]",5.0
242,A35D9ODUCAMF5G,B0001FTVD6,"[0, 0]",5.0
243,A1A64ANBPFSAT4,B0001FTVD6,"[0, 1]",5.0
244,A1RHGZOBDC3WQF,B0001FTVD6,"[0, 0]",5.0
245,A37AQI4AU3JWSR,B0001FTVD6,"[0, 0]",5.0
246,AUK79PXTAOJP9,B0001FTVD6,"[0, 0]",5.0
247,A2PN3GY7I3EKC1,B0001FTVD6,"[0, 0]",5.0
248,A3CSSZ6U5J4YS5,B0001FTVD6,"[0, 0]",5.0
249,A1S0HTDO0P4N5V,B0001FTVD6,"[0, 0]",5.0
250,A2605LYSN10W9,B0002BACB4,"[0, 0]",5.0
251,A7TRK2GG6BHWD,B0002BACB4,"[1, 1]",5.0
252,AGYH5U11ZKPFB,B0002BACB4,"[0, 0]",5.0
253,A26HM2R5529NYY,B0002BACB4,"[1, 1]",5.0
254,A1K323WRUBGWC9,B0002BACB4,"[4, 4]",5.0
255,A17A1KTVI3DG6U,B0002BACB4,"[3, 4]",5.0
256,A2Z89YMZZJWBHS,B0002BACB4,"[0, 0]",5.0
257,A1ARFA1NCN34UV,B0002CZR3G,"[2, 2]",5.0
258,A2EZWZ8MBEDOLN,B0002CZR3G,"[2, 2]",3.0
259,AXX6BZDD8K4JL,B0002CZR3G,"[1, 1]",4.0
260,A3CR1EV98GQ87X,B0002CZR3G,"[0, 0]",5.0
261,A5ZS85C5V40S8,B0002CZR3G,"[3, 3]",4.0
262,A3H4FCMNBYS09K,B0002CZR3G,"[0, 0]",4.0
263,A14VAT5EAX3D9S,B0002CZSJO,"[0, 0]",5.0
264,A2RVY2GDMZHH4,B0002CZSJO,"[0, 0]",5.0
265,A109JTUZXO61UY,B0002CZSJO,"[0, 0]",5.0
266,A3EZEP0FX5BC1P,B0002CZSJO,"[2, 2]",4.0
267,A1SCWHXAB2ZK7N,B0002CZSJO,"[1, 1]",5.0
268,AXWI0P2EGDEQT,B0002CZSJO,"[2, 2]",5.0
269,A26SN2CVQM4FKM,B0002CZSJO,"[0, 0]",4.0
270,A165EMA3YTIM6A,B0002CZSJO,"[1, 1]",4.0
271,A1CNDQC2IXGEPN,B0002CZSJO,"[0, 0]",5.0
272,A1S7QABO64Z554,B0002CZSJO,"[1, 1]",5.0
273,A1BH17V8BKLES,B0002CZSJO,"[0, 0]",5.0
274,A1CUB195YB9XKO,B0002CZSJO,"[0, 0]",5.0
275,A1JVHQXG7GST9J,B0002CZSJO,"[0, 0]",5.0
276,AZJPNK73JF3XP,B0002CZSJO,"[0, 0]",4.0
277,A2C7BOQVFH1HLE,B0002CZSJO,"[3, 4]",5.0
278,A2IN5BKM9IQT6Z,B0002CZSJO,"[0, 0]",5.0
279,A2XF1IANVPK7F,B0002CZSJO,"[0, 0]",5.0
280,A22LLQ00V32YZJ,B0002CZSJO,"[0, 0]",5.0
281,A56EP6FFRH1YT,B0002CZSJO,"[157, 161]",4.0
282,AFUXETAHFUXFE,B0002CZSJO,"[0, 0]",5.0
283,A1YA2BPU7CVNJD,B0002CZSJO,"[0, 0]",4.0
284,A14PY68SX7D5DV,B0002CZSJO,"[1, 1]",5.0
285,A2J4UAF6RW13WK,B0002CZSJO,"[1, 1]",5.0
286,AAGD3GA9ZVPLQ,B0002CZSJO,"[0, 0]",2.0
287,A3D0PD45BHLXFX,B0002CZSJO,"[0, 0]",3.0
288,A1BTNPMESS99PL,B0002CZSJO,"[4, 4]",5.0
289,AEN6KDJ3AJDK6,B0002CZSJO,"[0, 0]",5.0
290,AOINAOO0NQRGN,B0002CZSJO,"[1, 1]",5.0
291,A26E1V45R24QVC,B0002CZSJY,"[0, 0]",4.0
292,A2EWLWNMF65J5X,B0002CZSJY,"[0, 0]",5.0
293,AQES9A9BCJ7CV,B0002CZSJY,"[0, 0]",5.0
294,AEMC16IPBZORW,B0002CZSJY,"[0, 0]",5.0
295,A2YTKPGZXFFKVK,B0002CZSJY,"[0, 0]",4.0
296,A2FGSRTR4XFHMC,B0002CZSJY,"[0, 0]",5.0
297,A1786LAQ18LHDC,B0002CZSJY,"[0, 0]",5.0
298,A27UAE2PME5TRV,B0002CZSJY,"[0, 0]",5.0
299,A1MH0P8PE6AT4P,B0002CZSJY,"[0, 0]",5.0
300,A2IRI1NFJJJ6MZ,B0002CZSJY,"[0, 0]",4.0
301,A1VQHH85U7PX0,B0002CZSJY,"[0, 0]",5.0
302,A3V1A3C9DTLPME,B0002CZSJY,"[0, 0]",4.0
303,A2D9QW4TY8CFB0,B0002CZSJY,"[0, 0]",4.0
304,A16Z3HTUIYPDH8,B0002CZSJY,"[0, 0]",5.0
305,A3GSQE0LXPG9YF,B0002CZSJY,"[0, 1]",5.0
306,AB0XOMFCYELCK,B0002CZSJY,"[0, 0]",3.0
307,A3BH9XC0BVO1AG,B0002CZSJY,"[0, 0]",4.0
308,A3NKSY3I0UW3KK,B0002CZSJY,"[0, 0]",5.0
309,A3UQS40N3PW18L,B0002CZSJY,"[0, 0]",5.0
310,AI45J5737CUGY,B0002CZSJY,"[0, 0]",5.0
311,A18X6ZT4AEYVKB,B0002CZSJY,"[0, 0]",5.0
312,A3BZ9EP6SSC9MU,B0002CZSJY,"[0, 0]",5.0
313,A12SSZIN555FTL,B0002CZST4,"[2, 3]",4.0
314,A2PDPIVN721PZ7,B0002CZST4,"[0, 0]",5.0
315,A5RJ7TM82RH0I,B0002CZST4,"[0, 0]",5.0
316,A2IN5BKM9IQT6Z,B0002CZST4,"[1, 1]",4.0
317,A21WZ0YAMX0NLE,B0002CZST4,"[0, 0]",5.0
318,A2E2CJWPL1YMAR,B0002CZST4,"[0, 0]",5.0
319,A1AWXXBQRQN13I,B0002CZST4,"[0, 1]",5.0
320,A1IDPIC36H49JX,B0002CZST4,"[1, 2]",5.0
321,A1LI9W7A0CYOHV,B0002CZST4,"[1, 1]",5.0
322,A3EIML9QZO5NZZ,B0002CZST4,"[3, 4]",5.0
323,AEUG4DYQZJ64Z,B0002CZST4,"[5, 5]",5.0
324,A165EMA3YTIM6A,B0002CZT0M,"[1, 1]",4.0
325,A3M4FU3WQWJHMP,B0002CZT0M,"[0, 0]",4.0
326,A34G1GTMQGEDUN,B0002CZT0M,"[1, 1]",5.0
327,AQDHNCD25PFE6,B0002CZT0M,"[0, 0]",5.0
328,AN73VQ17FZVJ8,B0002CZT0M,"[0, 0]",5.0
329,A1IDPIC36H49JX,B0002CZT0M,"[3, 3]",5.0
330,A3ADSZR7QAQ5U,B0002CZT0M,"[0, 0]",3.0
331,AZBUUKQLYKUCL,B0002CZT0M,"[0, 0]",4.0
332,A22SZV0N4O2FQM,B0002CZTIO,"[9, 10]",4.0
333,A1QE7VZE507TO7,B0002CZTIO,"[0, 0]",5.0
334,AOCBJFQ7UPEOJ,B0002CZTIO,"[0, 0]",4.0
335,AH0XON4XDOF2C,B0002CZTIO,"[1, 1]",2.0
336,ALV33FTOC032I,B0002CZTIO,"[0, 0]",3.0
337,A3USVJXZXK7XRI,B0002CZTIO,"[0, 0]",3.0
338,A2053ZJUGCKUA5,B0002CZTIO,"[0, 0]",5.0
339,A2D0F87RY5YMHN,B0002CZTIO,"[0, 0]",5.0
340,AZE83O4F1IJPR,B0002CZTIO,"[0, 0]",5.0
341,A10H2F00ZOT8S2,B0002CZTIO,"[0, 0]",4.0
342,A2VCXIAWCPQ13P,B0002CZTIO,"[0, 0]",4.0
343,AXP7888CP2222,B0002CZTIO,"[0, 0]",4.0
344,AGDWVRFL81B4O,B0002CZTIO,"[0, 0]",5.0
345,A1T4HGVX32QIYC,B0002CZTIO,"[0, 0]",4.0
346,A1TSW5IJ1LU0RP,B0002CZTIO,"[0, 0]",5.0
347,ASJAKT8DJIAC5,B0002CZTIO,"[0, 0]",4.0
348,AN1RO6C6I78YO,B0002CZUTM,"[2, 4]",5.0
349,A3K96R872MUM3D,B0002CZUTM,"[0, 0]",5.0
350,A2U1Z3TZ4P76JB,B0002CZUTM,"[0, 0]",5.0
351,A20L3BCRCICRSQ,B0002CZUTM,"[0, 0]",3.0
352,A3G5BIFX6VS1OP,B0002CZUTM,"[0, 0]",5.0
353,A31RULW0KNYJ5H,B0002CZUTM,"[3, 4]",4.0
354,AG5L0MYSPPWDC,B0002CZUTM,"[1, 1]",4.0
355,A1SG6JGU7ISEH3,B0002CZUTM,"[2, 3]",5.0
356,AVDW3OAVWWE05,B0002CZUTM,"[1, 1]",5.0
357,A2JZTK0WGJCMGN,B0002CZUTM,"[0, 0]",5.0
358,AMU3EIC4EOPX4,B0002CZUTM,"[0, 0]",5.0
359,ATL0URQ0KUKGZ,B0002CZUUG,"[0, 0]",5.0
360,A3DIN9E5QQZ6VT,B0002CZUUG,"[0, 0]",5.0
361,A1LU9607CVAMIF,B0002CZUUG,"[0, 0]",4.0
362,A15TYOEWBQYF0X,B0002CZUUG,"[2, 4]",5.0
363,A3MDQTWO6NOV1U,B0002CZUUG,"[3, 3]",5.0
364,A3IVULXGE2PB43,B0002CZUUG,"[3, 4]",5.0
365,A2MMH4O7EDNLCV,B0002CZUUG,"[65, 70]",5.0
366,A278CZM7C2OO8A,B0002CZUUG,"[1, 2]",3.0
367,A2RIQKV4OOXME1,B0002CZUUG,"[0, 0]",3.0
368,A3MRBUCGH66JTY,B0002CZUUG,"[18, 19]",5.0
369,A2EDYSY4M8TESS,B0002CZUUG,"[2, 3]",3.0
370,A1GUHIMGFE362L,B0002CZUUG,"[0, 0]",5.0
371,A2ZGEV4CTSCTIZ,B0002CZUUG,"[2, 2]",5.0
372,A3CMXRFIWQCBKQ,B0002CZUUG,"[1, 1]",5.0
373,A2NYK9KWFMJV4Y,B0002CZUUG,"[9, 10]",5.0
374,A2AAS19L5VE69J,B0002CZUUG,"[29, 30]",5.0
375,A25ZBYVW8ZINLM,B0002CZUUG,"[2, 2]",5.0
376,A3KBFCPNQ58YK4,B0002CZUUG,"[1, 2]",2.0
377,A1UMOYYM8HB2A1,B0002CZUUG,"[1, 1]",5.0
378,A23AKO4BZLZ8DE,B0002CZUUG,"[7, 7]",5.0
379,A102MU6ZC9H1N6,B0002CZUUG,"[1, 2]",5.0
380,A18MMME07XZLYO,B0002CZUUG,"[0, 0]",5.0
381,A3BTH66WVCQAM9,B0002CZV46,"[0, 0]",4.0
382,AXXGP6UT41KAS,B0002CZV46,"[0, 0]",5.0
383,A26M5O53PHZTKN,B0002CZV46,"[0, 0]",4.0
384,A3ARSPDQYDZVNS,B0002CZV46,"[0, 0]",5.0
385,ALAY8GVFBUQ9L,B0002CZV46,"[0, 0]",5.0
386,A2Y8JW5NSY95OL,B0002CZV46,"[0, 0]",3.0
387,A1AUDW7X02EEPJ,B0002CZV46,"[0, 0]",5.0
388,A3KKTTJACRWL16,B0002CZV46,"[0, 0]",5.0
